model,params,confusion,accuracy,precision,recall,f1,roc_auc
"SVC(kernel='linear', max_iter=300, probability=True)","{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': 300, 'probability': True, 'random_state': None, 'shrinking': True, 'tol': 0.001, 'verbose': False}",[[   0 71688] [   0  4042]],0.05337382807341873,0.05337382807341873,1.0,0.1013388156245299,0.5
"SVC(kernel='poly', max_iter=300, probability=True)","{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 300, 'probability': True, 'random_state': None, 'shrinking': True, 'tol': 0.001, 'verbose': False}",[[43408 28280] [1845  2197]],0.6022052026937805,0.07208714768513962,0.5435428005937655,0.12729221588110898,0.5881343638282798
"SVC(max_iter=300, probability=True)","{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 300, 'probability': True, 'random_state': None, 'shrinking': True, 'tol': 0.001, 'verbose': False}",[[24530 47158] [2035  2007]],0.3504159514063119,0.0408217227702634,0.49653636813458685,0.0754412013456876,0.5
"SVC(kernel='sigmoid', max_iter=300, probability=True)","{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'sigmoid', 'max_iter': 300, 'probability': True, 'random_state': None, 'shrinking': True, 'tol': 0.001, 'verbose': False}",[[42751 28937] [1684  2358]],0.5956556186451869,0.07534749960057517,0.5833745670460169,0.13345784871381272,0.5
